progress,invariant1,invariant2,invariant3
0.000000000000000000e+00,1.272130598004922675e+00,-4.981429694779864192e+00,2.626035329982989719e+00
1.673196714320964937e-02,1.299743389888433631e+00,-5.041109636958936768e+00,2.626603720903911032e+00
2.619596092910314589e-02,1.333990289810554897e+00,-5.284999197358074774e+00,2.629710921780709754e+00
3.603686462254606510e-02,1.336773690117231350e+00,-5.806683828378638168e+00,2.639692592193777276e+00
4.614128484458530216e-02,1.336267759974968383e+00,-6.621262073812778759e+00,2.662860822716045295e+00
5.611856720157345352e-02,1.331694425277896388e+00,-7.669924825422858028e+00,2.706442881658028821e+00
6.591365573644558662e-02,1.322626942103779291e+00,-8.834015644037826576e+00,2.776664407373241605e+00
7.517384456464328013e-02,1.314642111840488514e+00,-9.956812006719388819e+00,2.876001667495220016e+00
8.418472229430148945e-02,1.306509092171269648e+00,-1.087642998551122453e+01,3.000166078875519116e+00
9.270732213681234790e-02,1.297428860455276611e+00,-1.145402438892452679e+01,3.135678449932971290e+00
1.012983363735787123e-01,1.291049023253010519e+00,-1.159352815998381026e+01,3.258889921657661226e+00
1.096063530600373259e-01,1.289907367353120726e+00,-1.125601129022982150e+01,3.337246481927408581e+00
1.177295102737108690e-01,1.302034263686442817e+00,-1.046935274471087851e+01,3.333574888460403063e+00
1.261571989276492889e-01,1.313172754594091884e+00,-9.328893116280685405e+00,3.213177985950349314e+00
1.350310453746156325e-01,1.320970796330971808e+00,-7.979034115194393983e+00,2.951133824144745788e+00
1.443599331365539862e-01,1.323662502320470891e+00,-6.584924936537495554e+00,2.536993499917315376e+00
1.540916767923142527e-01,1.324676053539749043e+00,-5.304769532346679028e+00,1.975724055516444588e+00
1.634852974732740050e-01,1.328065710253476306e+00,-4.263329459760231366e+00,1.285066907706220674e+00
1.726828619733266623e-01,1.326586483015325113e+00,-3.531581690929577633e+00,4.909731523857116531e-01
1.818834495159273590e-01,1.321278461710895913e+00,-3.116136468863953457e+00,-3.765998565200938120e-01
1.916938148300745270e-01,1.319665867352718180e+00,-2.971290601891940941e+00,-1.285983098811291914e+00
2.013436324048523129e-01,1.320307116404092707e+00,-3.031499972873762161e+00,-2.204153991054143891e+00
2.112606016873622150e-01,1.321002875922985709e+00,-3.241830451389810186e+00,-3.096081958068856999e+00
2.211596238903918432e-01,1.321796246801873798e+00,-3.567103578586356072e+00,-3.924222934369867133e+00
2.310204729683831837e-01,1.321313532031598292e+00,-3.984612109632239552e+00,-4.648825948549291986e+00
2.402652426981262135e-01,1.320989122069450517e+00,-4.472792791787237654e+00,-5.229409044126937189e+00
