progress,invariant1,invariant2,invariant3
0.000000000000000000e+00,1.272131578537612828e+00,-4.981318323973034978e+00,2.625903944825954461e+00
1.673196714320964937e-02,1.299743250132123107e+00,-5.041012204643316785e+00,2.626473001457236389e+00
2.619596092910314589e-02,1.333989922526759075e+00,-5.284927200863204888e+00,2.629587283315605539e+00
3.603686462254606510e-02,1.336773497367473640e+00,-5.806644605498517464e+00,2.639587118742802385e+00
4.614128484458530216e-02,1.336267677094347572e+00,-6.621257818257133110e+00,2.662787923343700847e+00
5.611856720157345352e-02,1.331694285174760184e+00,-7.669952451328356346e+00,2.706418789418725712e+00
6.591365573644558662e-02,1.322626544555772332e+00,-8.834067302658311860e+00,2.776705624823273766e+00
7.517384456464328013e-02,1.314641358805382465e+00,-9.956876169977009639e+00,2.876123412726538486e+00
8.418472229430148945e-02,1.306507962452285065e+00,-1.087649297566671081e+01,3.000380747230891654e+00
9.270732213681234790e-02,1.297427336810987653e+00,-1.145407219964535805e+01,3.135994119752644860e+00
1.012983363735787123e-01,1.291047224559577211e+00,-1.159354848523757120e+01,3.259308993553912348e+00
1.096063530600373259e-01,1.289905752228805547e+00,-1.125599571074632976e+01,3.337764605236212212e+00
1.177295102737108690e-01,1.302032947982904698e+00,-1.046929886876086968e+01,3.334180345225509434e+00
1.261571989276492889e-01,1.313171535774968701e+00,-9.328806167695033125e+00,3.213851647753209750e+00
1.350310453746156325e-01,1.320969609872723050e+00,-7.978927347972887496e+00,2.951849690024782369e+00
1.443599331365539862e-01,1.323661184630496646e+00,-6.584818351708027429e+00,2.537719716230519396e+00
1.540916767923142527e-01,1.324674540915794507e+00,-5.304686743351479272e+00,1.976424258356644925e+00
1.634852974732740050e-01,1.328064261100997623e+00,-4.263293280054980983e+00,1.285701743433847133e+00
1.726828619733266623e-01,1.326585479903028997e+00,-3.531609633645897972e+00,4.915018943624567260e-01
1.818834495159273590e-01,1.321277744830845702e+00,-3.116237231241236305e+00,-3.762176407364680730e-01
1.916938148300745270e-01,1.319664876568277023e+00,-2.971461988418489408e+00,-1.285785893220796616e+00
2.013436324048523129e-01,1.320305798716666201e+00,-3.031728195360184230e+00,-2.204176766082001748e+00
2.112606016873622150e-01,1.321001419010880973e+00,-3.242091019485414005e+00,-3.096354743337640159e+00
2.211596238903918432e-01,1.321794747150260019e+00,-3.567364260453024905e+00,-3.924769538104721622e+00
2.310204729683831837e-01,1.321312310505976084e+00,-3.984837836154561330e+00,-4.649662775946731053e+00
2.402652426981262135e-01,1.320988093407649000e+00,-4.472951717508093950e+00,-5.230543877859609836e+00
2.495499510879823357e-01,1.317119084513383553e+00,-5.000331549993741298e+00,-5.629015336889132470e+00
2.591325739885043111e-01,1.305819695529778279e+00,-5.516347028949383891e+00,-5.812632291039653509e+00
2.685600374509790056e-01,1.300832139281602906e+00,-5.950632152003173303e+00,-5.759245338940626624e+00
2.778936561144924600e-01,1.304021211678320302e+00,-6.237365391055688768e+00,-5.460812899211008542e+00
2.871013601699913265e-01,1.309441402589586634e+00,-6.345311822007420943e+00,-4.925413969552813853e+00
2.963225672344375061e-01,1.315932358195248231e+00,-6.282440430639008255e+00,-4.176686484543176370e+00
3.054007320652111779e-01,1.322011453567784045e+00,-6.083063136773543711e+00,-3.250719409381299219e+00
3.149037237545814771e-01,1.324149734151818247e+00,-5.791735523306384081e+00,-2.191221727058989099e+00
3.251353062194163868e-01,1.324118783886685691e+00,-5.452118414174891292e+00,-1.044269080590614740e+00
3.353234804161995819e-01,1.319135672830372252e+00,-5.100598521198436153e+00,1.461741359923359185e-01
3.454918703679242253e-01,1.319410242252497811e+00,-4.767143782706201094e+00,1.341550312455893845e+00
3.561819952640679632e-01,1.323105809333149363e+00,-4.480773166851314215e+00,2.510820600003530689e+00
3.671931772798137095e-01,1.321371125430869320e+00,-4.261122491429988557e+00,3.630997913478822170e+00
3.779991615466273269e-01,1.316700986564461218e+00,-4.106864210191758069e+00,4.686486969743738129e+00
3.889577985698903229e-01,1.318175604351603081e+00,-3.999724344215879412e+00,5.667980156366086320e+00
3.995782876415877038e-01,1.318441812894687537e+00,-3.922439689039401767e+00,6.571168358889604377e+00
4.097205278290254604e-01,1.320841059399499695e+00,-3.871825896961589297e+00,7.395264234766024458e+00
4.195294079182295688e-01,1.320945930931612278e+00,-3.852067496571759619e+00,8.141632168370867007e+00
4.299772901707774597e-01,1.322104169611569180e+00,-3.865292320878626064e+00,8.812656562963233853e+00
4.412210119875521475e-01,1.323725558301741989e+00,-3.910496535071439350e+00,9.410619559685340363e+00
4.523134186159140091e-01,1.324212080814374470e+00,-3.979649991186477997e+00,9.936602891216905320e+00
4.631829657626141405e-01,1.321006326998355185e+00,-4.052039307930268563e+00,1.038950367651838924e+01
4.744268526820080156e-01,1.319035806957626233e+00,-4.096886836570051926e+00,1.076513974244689997e+01
4.860156571701010897e-01,1.319070908354764926e+00,-4.087437500238356058e+00,1.105552778810179682e+01
4.973404208788121950e-01,1.322240379857938297e+00,-4.014683033287982816e+00,1.124878821180229771e+01
5.094462719568686460e-01,1.322586173707733126e+00,-3.885541362375229291e+00,1.132983765940982757e+01
5.220940893393362092e-01,1.318832547290525792e+00,-3.707502266503333477e+00,1.128147740084889072e+01
5.345785714796463806e-01,1.317583448897752252e+00,-3.481794490977346168e+00,1.108548524717260442e+01
5.470043855522185305e-01,1.317621492528257887e+00,-3.213266595653316848e+00,1.072379352324004742e+01
5.594039523680958137e-01,1.319085998942037596e+00,-2.921248761066101540e+00,1.017985927431383608e+01
5.716342472417419440e-01,1.319919018616143802e+00,-2.640136599920408500e+00,9.439951008135517796e+00
5.834064245169953145e-01,1.319536807543900903e+00,-2.410270522689425210e+00,8.494059373941519553e+00
5.953665900894333785e-01,1.318703500745345814e+00,-2.267630961935680922e+00,7.336372814810055765e+00
